Feature,Importance,Importance %
Votes,0.6380770027226406,63.80770027226404
Country Code,0.12018924803143306,12.018924803143303
Primary Cuisine_encoded,0.09353446281395648,9.353446281395646
City_encoded,0.07745693826941692,7.745693826941691
Price range,0.031166292192580793,3.1166292192580785
Cuisine Count,0.01629500761300273,1.6295007613002725
Has Online delivery,0.014929530197224226,1.4929530197224223
Has Table booking,0.006037327702877126,0.6037327702877124
Is delivering now,0.00231419045686822,0.23141904568682198
